,Genes,hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,DR_UR,Type
183,ENSG00000231202,TRGVB,3.332170407728054,-6.823750559044219,0.877629221708853,-7.77520892679203,7.549516567440156e-15,6.195044477373184e-14,DR,Immune
184,ENSG00000231926,SEPHS1P7,1.9235272714054652,-5.70317758615722,0.960089614714635,-5.9402554706857895,2.845780948567676e-09,1.4699483135262599e-08,DR,Immune
185,ENSG00000232381,OR52U1P,4.174531655388053,-8.95626286080899,0.867176175632713,-10.3280776299859,0.0,0.0,DR,Immune
186,ENSG00000232500,,2.573023697884135,-6.65553596844732,0.971540304368171,-6.850499087400871,7.359224330664948e-12,4.746469863140601e-11,DR,Immune
187,ENSG00000233018,,1.858733914770658,-5.629732389077639,1.0654327013354399,-5.2839868553135405,1.263992669266469e-07,5.535557905169975e-07,DR,Immune
188,ENSG00000233746,LINC00656,2.4208232053975283,-5.88955273072445,0.9659607060708871,-6.097093488078441,1.0801433068771022e-09,5.781756672409926e-09,DR,Immune
189,ENSG00000233754,,3.118904487411207,-6.96936746938092,0.8758790949333709,-7.95699715827912,1.7763568393996466e-15,1.5321077739805637e-14,DR,Immune
190,ENSG00000234614,C2CD4D-AS1,2.548761285934179,-6.61843333545701,0.91586538470678,-7.22642589836054,4.95825602750543e-13,3.5640379524869398e-12,DR,Immune
191,ENSG00000240401,,1.4924637971778834,-4.60900655052357,1.07886024897292,-4.272107119445129,1.9291868209802417e-05,6.501440261085591e-05,DR,Immune
192,ENSG00000243680,RPL37P23,2.225796745670885,-6.14277500661649,0.926354330314806,-6.631128938026309,3.331290777529693e-11,2.0417755992252567e-10,DR,Immune
193,ENSG00000249851,RPS27AP18,1.226153235577992,-4.69678533053051,1.03428038018058,-4.54111420900249,5.589781988121057e-06,2.0213103923952517e-05,DR,Immune
194,ENSG00000253552,HOXA-AS2,2.8744696121408224,-6.5990177105472005,0.8852203913703071,-7.45466075440493,9.015010959800727e-14,6.825651154968262e-13,DR,Immune
195,ENSG00000254415,SIGLEC14,4.871916241513954,-9.50993731768891,0.862799566372578,-11.022186019020698,0.0,0.0,DR,Immune
196,ENSG00000255882,,4.647428262048307,-9.66508296398413,0.852354145002712,-11.339280768035,0.0,0.0,DR,Immune
197,ENSG00000259783,LINC02259,2.157157457722972,-6.02545347868499,1.01528262273095,-5.9347548591715995,2.9428469739383533e-09,1.517714218241336e-08,DR,Immune
198,ENSG00000260148,,3.2888943157239923,-7.69450117153821,0.885186452662117,-8.692520257622219,0.0,0.0,DR,Immune
199,ENSG00000260438,,1.6484353872679813,-4.96995878574301,0.999423358698476,-4.97282632278604,6.597543889850255e-07,2.6729979785154396e-06,DR,Immune
201,ENSG00000266984,POLR3GP2,1.1016575246803024,-4.4581873284803395,1.10301443622519,-4.04182137791184,5.2502882564597826e-05,0.00016602233905946685,DR,Immune
202,ENSG00000267254,ZNF790-AS1,1.9185970819462943,-5.701675708776809,0.9754629324986329,-5.84509725466662,5.062719112228157e-09,2.5551696621842037e-08,DR,Immune
203,ENSG00000268941,LINC01711,2.339813212473847,-5.86808560162848,1.0740465063976299,-5.46353027236238,4.667534584420627e-08,2.1394040901433325e-07,DR,Immune
204,ENSG00000269475,,3.829875190725577,-8.43221300180694,0.8628099221260122,-9.77296712238716,0.0,0.0,DR,Immune
206,ENSG00000269959,SPACA6P-AS,1.6841741658330185,-5.35552174558206,0.9677894466850041,-5.533767457298159,3.1342257516257856e-08,1.465880581861246e-07,DR,Immune
207,ENSG00000270789,,2.895071540728154,-7.13043957159363,0.9477307339574941,-7.52369772985902,5.3290705181463976e-14,4.107825190958352e-13,DR,Immune
208,ENSG00000273018,FAM106A,3.2484267920494276,-7.6388403470806905,0.972748782307838,-7.8528397938033,3.996802888647507e-15,3.4194869158347606e-14,DR,Immune
209,ENSG00000279806,,4.952836414854024,-9.62475790066052,0.856270069626073,-11.240329706798699,0.0,0.0,DR,Immune
210,ENSG00000280003,,1.1047098217408007,-3.99556219028992,1.05002793239829,-3.8051960971780496,0.00013791812904818363,0.00040814814500751717,DR,Immune
211,ENSG00000280272,,2.715648516032325,-6.862125816255519,0.8896963708705858,-7.712885025641721,1.2212453270848178e-14,9.947598300550667e-14,DR,Immune
212,ENSG00000281379,SEPT14P19,1.9789687345017977,-5.30288769300301,0.9519264349842979,-5.570690652256641,2.5373025921086503e-08,1.196522025395129e-07,DR,Immune
214,ENSG00000285413,,3.194056833480915,-7.56498918088689,0.874991260818986,-8.64578827199498,0.0,0.0,DR,Immune
215,ENSG00000285538,,2.6575864549802577,-6.72362862616319,0.920731183677647,-7.30248822387792,2.8244073744937207e-13,2.065458914621461e-12,DR,Immune
216,ENSG00000223345,H2BP1,0.27813091010960106,3.07997210729527,1.3193484597655,2.3344644733527797,0.0026177002672855055,0.0054777341278450225,UR,Immune
217,ENSG00000272750,,0.8451273647794999,4.092682431354279,1.16865049995178,3.50205851238086,0.0004231899866477545,0.0011378646076054782,UR,Immune
218,ENSG00000275789,MIR8064,0.5189179263227641,3.65752415787883,1.2701352492279199,2.8796336139022594,0.002044705887865759,0.004470907154826158,UR,Immune
