"","Genes","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DR_UR","Type"
"5371","ENSG00000267254","ZNF790-AS1",6.81139593280654,-5.70167570877681,0.975462932498633,-5.84509725466662,0.00000000506272394797683,0.000000025551756419172,"DR","Immune"
"5429","ENSG00000268941","LINC01711",10.3792976583231,-5.86808560162848,1.07404650639763,-5.46353027236238,0.0000000466757628166982,0.000000213944606042475,"DR","Immune"
"5445","ENSG00000269475",NA,46.0567895609907,-8.43221300180694,0.862809922126012,-9.77296712238716,0.000000000000000000000147080260791326,0.0000000000000000000020388877762717,"DR","Immune"
"5446","ENSG00000269516","CYP4F23P",321.564905299606,-10.053599498875,0.993131836364206,-10.1231267901759,0.00000000000000000000000436251793104122,0.0000000000000000000000668703583418601,"DR","Immune"
"5461","ENSG00000269959","SPACA6P-AS",5.38799950045107,-5.35552174558206,0.967789446685004,-5.53376745729816,0.0000000313424455945324,0.00000014659002858875,"DR","Immune"
"5483","ENSG00000270789",NA,18.0847951943959,-7.13043957159363,0.947730733957494,-7.52369772985902,0.0000000000000532483710954592,0.000000000000410889253591711,"DR","Immune"
"5544","ENSG00000273018","FAM106A",25.7497982479872,-7.63884034708069,0.972748782307838,-7.8528397938033,0.00000000000000406721072728832,0.0000000000000342018270013803,"DR","Immune"
"5722","ENSG00000279806",NA,141.575963117353,-9.62475790066052,0.856270069626073,-11.2403297067987,0.0000000000000000000000000000258415402633794,0.000000000000000000000000000531762903252902,"DR","Immune"
"5734","ENSG00000280003",NA,3.0183484826083,-3.99556219028992,1.05002793239829,-3.80519609717805,0.000141691889051534,0.000424228442596041,"DR","Immune"
"5744","ENSG00000280272",NA,15.1144088306717,-6.86212581625552,0.889696370870586,-7.71288502564172,0.0000000000000123004894108351,0.0000000000000995851479787555,"DR","Immune"
"5763","ENSG00000281379","SEPT14P19",7.23527764424395,-5.30288769300301,0.951926434984298,-5.57069065225664,0.0000000253731492287932,0.000000119653515370028,"DR","Immune"
"5780","ENSG00000283051","LINC01668",123.721555244493,-8.55994588549885,0.754017741858679,-11.3524462493393,0.00000000000000000000000000000721163752974121,0.000000000000000000000000000154559142077099,"DR","Immune"
"5832","ENSG00000285413",NA,24.3871616875256,-7.56498918088689,0.874991260818986,-8.64578827199498,0.00000000000000000534351156130229,0.0000000000000000550818372045908,"DR","Immune"
"5838","ENSG00000285538",NA,14.2618259672119,-6.72362862616319,0.920731183677647,-7.30248822387792,0.00000000000028249404125614,0.0000000000020654564326179,"DR","Immune"
"5998","ENSG00000223345","H2BP1",1.32065907351728,3.07997210729527,1.3193484597655,2.33446447335278,0.0195714142288979,0.0390718918350016,"UR","Immune"
"6115","ENSG00000272750","",2.32827433583405,4.09268243135428,1.16865049995178,3.50205851238086,0.000461678216195909,0.00127614099103734,"UR","Immune"
"6363","ENSG00000275789","MIR8064",1.68020855622884,3.65752415787883,1.27013524922792,2.87963361390226,0.00398137554251948,0.00930790173522806,"UR","Immune"
"6374","ENSG00000241537","",1.12698739499795,3.03774279062893,1.33568992917662,2.27428741077769,0.0229487115934074,0.0449347683812612,"UR","Immune"
"6636","ENSG00000170074","FAM153A",1.99650390234923,3.74977504729273,1.19921023439357,3.12687045169269,0.00176677760780531,0.00442068945962673,"UR","Immune"
"6663","ENSG00000272345","",1.75369028411965,3.14453823909877,1.239308700634,2.53733249632646,0.0111700808061119,0.0237669862529221,"UR","Immune"
"6681","ENSG00000204516","MICB",2.82880567213844,2.82686653265666,1.22473907717126,2.30813777836319,0.0209914745599023,0.0414957681095616,"UR","Immune"
"6888","ENSG00000106028","SSBP1",2.11538910792988,4.00597075149086,1.13923386824986,3.51637259314015,0.000437486570803184,0.00121455445160481,"UR","Immune"
"6889","ENSG00000251578","TRBV21-1",1.99230745688123,3.88438364575394,1.22219668940076,3.17819846792291,0.00148193272143322,0.00375459311391637,"UR","Immune"
"6980","ENSG00000244307","RN7SL395P",1.48343737463243,2.94120836114585,1.29486754981601,2.27143568588445,0.023120616175207,0.0452284907871577,"UR","Immune"
"7227","ENSG00000236607","EEF1DP8",2.32440408009932,4.04636906492143,1.4103465456365,2.86906014513991,0.00411693504521879,0.0095990171704805,"UR","Immune"
"7489","ENSG00000153531","ADPRHL1",1.32741883668099,3.10605008539673,1.38434161930029,2.24370201841267,0.024851580166321,0.0481246350249956,"UR","Immune"
"7549","ENSG00000271656","",1.39768245987448,3.35488444828426,1.28535570354153,2.61008251571186,0.009052038524441,0.019621656116734,"UR","Immune"
"7603","ENSG00000259254","",1.5648091353733,3.45423109733106,1.52779949321166,2.26091912759426,0.0237642654410483,0.0462957701188261,"UR","Immune"
"7643","ENSG00000129028","THAP10",1.70213637478861,3.44819554590402,1.40225478352819,2.45903639367739,0.0139310494813377,0.0289155459904062,"UR","Immune"
"7712","ENSG00000140993","TIGD7",1.97239063785405,3.79230972122408,1.24767523104515,3.03950068644654,0.0023697066258205,0.00579417465005296,"UR","Immune"
"7771","ENSG00000197471","SPN",2.10235563071555,4.00161911024319,1.18543049051332,3.37566744087237,0.000736368688421299,0.00197400327830525,"UR","Immune"
"7828","ENSG00000270020","",1.51012246360992,3.34379125257634,1.22426538842764,2.73126340431046,0.00630920236121955,0.0141283723833571,"UR","Immune"
"7846","ENSG00000158792","SPATA2L",2.71858524080739,3.52610670577653,1.24107113031165,2.84118018674004,0.00449469087821865,0.0104195106722342,"UR","Immune"
"8032","ENSG00000266373","",4.19613371244476,3.64579369826363,1.42468773659417,2.55901248015174,0.0104969972903684,0.0224156607942682,"UR","Immune"
"8055","ENSG00000279366","",1.2330375236204,3.06937729063799,1.35841704635652,2.2595250102835,0.0238507463619038,0.0464259315448342,"UR","Immune"
"8066","ENSG00000282059","CICP19",2.76047148836362,3.83331522398513,1.08334874126806,3.53839449658496,0.000402568120266448,0.00112346491080677,"UR","Immune"
"8206","ENSG00000090006","LTBP4",1.82320079201263,3.28267137443924,1.26374833815029,2.59756731252678,0.00938867165879838,0.0202715811433405,"UR","Immune"
"8431","ENSG00000183822","NCF4-AS1",2.00681711922048,3.82251075358307,1.18000599546901,3.23939943378317,0.0011978169849463,0.00309213058260469,"UR","Immune"
"8433","ENSG00000100124","ANKRD54",1.89123550230884,3.17578335163772,1.12517899288131,2.822469466396,0.00476553596680201,0.0109964692522604,"UR","Immune"
"8560","ENSG00000230542","LINC00102",2.13339679149015,3.89952142452425,1.12624183438925,3.46241926507633,0.000535342499289917,0.00146190703326171,"UR","Immune"
"76","ENSG00000010704","HFE",9.7158217569748,5.85231860177941,1.14186409673296,5.12523216950575,0.000000297171326618247,0.00000124821021887135,"UR","Cancer"
"81","ENSG00000011143","MKS1",20.2375389173505,7.18408475329225,0.933232990448148,7.69806128461273,0.0000000000000138146116950234,0.000000000000111243978386241,"UR","Cancer"
"111","ENSG00000023608","SNAPC1",2.47991061939803,4.2412733821432,1.14572530047175,3.70182397158975,0.000214055110578238,0.000625030331718466,"UR","Cancer"
"207","ENSG00000058272","PPP1R12A",24.3764951790701,7.59404515245356,0.914858891109905,8.30078302375187,0.000000000000000103427434388122,0.000000000000000976591386188191,"UR","Cancer"
"274","ENSG00000067167","TRAM1",23.8627952963655,7.04456808426859,0.89297718159503,7.88885564991217,0.00000000000000304970023270108,0.0000000000000260161314636823,"UR","Cancer"
"531","ENSG00000091164","TXNL1",87.9932301574306,9.44324727021903,0.860448662026382,10.9747945310065,0.000000000000000000000000000505205810653853,0.0000000000000000000000000098212009591109,"UR","Cancer"
"556","ENSG00000095917","TPSD1",115.108028296674,9.326609570111,0.871653904708873,10.6998999485077,0.000000000000000000000000010188817045993,0.000000000000000000000000183598705417653,"UR","Cancer"
"596","ENSG00000100116","GCAT",15.7717827125153,6.96469367902084,0.907947383433235,7.67081199428666,0.0000000000000170910904429904,0.000000000000136960804306486,"UR","Cancer"
"673","ENSG00000102048","ASB9",68.3611878627512,9.08707286115209,0.85780543744552,10.5933961997405,0.0000000000000000000000000319775172546958,0.00000000000000000000000055679293479093,"UR","Cancer"
"729","ENSG00000103534","TMC5",9.51760447386867,6.22477871206391,0.952362586552197,6.53614369144765,0.0000000000631252708844117,0.000000000377654589461991,"UR","Cancer"
"777","ENSG00000104879","CKM",176.058724743291,9.95988780285978,0.861209678754477,11.564997524487,0.000000000000000000000000000000619930848506421,0.0000000000000000000000000000140904227520221,"UR","Cancer"
"833","ENSG00000105835","NAMPT",3.89154289955196,4.87609160820486,1.15774252589002,4.21172367703807,0.0000253429438070219,0.0000844287910216188,"UR","Cancer"
"901","ENSG00000108379","WNT3",58.0159004609418,8.8317377635172,0.861114977999082,10.256165540215,0.00000000000000000000000111028345866383,0.0000000000000000000000176746858101745,"UR","Cancer"
"965","ENSG00000110900","TSPAN11",105.423295478644,9.69567003910943,0.853362394174496,11.3617263958398,0.00000000000000000000000000000648502518446644,0.000000000000000000000000000139529369984536,"UR","Cancer"
"999","ENSG00000111907","TPD52L1",4.49798691349245,4.63502280543351,1.01026156675038,4.58794331882046,0.00000447634129266103,0.0000164043165934644,"UR","Cancer"
"1036","ENSG00000112964","GHR",59.6308804961568,8.88079113311422,0.886112813292242,10.0221901770258,0.0000000000000000000000121774015936002,0.000000000000000000000181605942177482,"UR","Cancer"
"1045","ENSG00000113248","PCDHB15",3.78670005235617,4.89088053847136,1.01600568729003,4.81383185119436,0.00000148063404575696,0.00000575535096967492,"UR","Cancer"
"1068","ENSG00000113812","ACTR8",7.75131866713175,5.36827330646583,0.932901707208908,5.75438255175547,0.00000000869590365601057,0.0000000429826838204961,"UR","Cancer"
"1082","ENSG00000114446","IFT57",19.2730119111713,7.13357478869207,0.88315648637006,8.0773621649006,0.000000000000000661827691480588,0.00000000000000590498961880412,"UR","Cancer"
"1197","ENSG00000118402","ELOVL4",8.80341313349931,6.09695554573544,1.02832927509295,5.92899151410848,0.00000000304800836871451,0.0000000156999034553113,"UR","Cancer"
"1204","ENSG00000119138","KLF9",57.0916870977075,8.33896676383849,1.21765104126568,6.84840441245843,0.00000000000746782064816821,0.0000000000481460274640388,"UR","Cancer"
"1289","ENSG00000122644","ARL4A",21.4157713022056,6.92062912392648,0.911572414663817,7.59196857276421,0.000000000000031508144940588,0.000000000000247806086148632,"UR","Cancer"
"1369","ENSG00000125676","THOC2",22.5175081466403,7.44782111117847,1.31007540674846,5.68503238272641,0.0000000130787875090393,0.0000000634136985913631,"UR","Cancer"
"1415","ENSG00000126583","PRKCG",18.3789228012546,7.1614475004072,0.88932212657384,8.0527036114541,0.000000000000000809848541746888,0.00000000000000718686213954113,"UR","Cancer"
"1470","ENSG00000128607","KLHDC10",68.8373155125473,8.13303301969996,0.854602018120548,9.51674913848932,0.00000000000000000000178681232737228,0.000000000000000000022941170860528,"UR","Cancer"
"1517","ENSG00000130414","NDUFA10",25.9447998354563,7.6839099888741,0.881283256319754,8.71900144904848,0.00000000000000000280665976802764,0.0000000000000000295396471381457,"UR","Cancer"
"1552","ENSG00000131187","F12",3.2918636260321,4.5535387466857,1.10640087006339,4.11563192861988,0.0000386120062406337,0.000125324060326111,"UR","Cancer"
"1707","ENSG00000135898","GPR55",12.1582733929825,6.56016082765484,0.94625579759264,6.93275628465842,0.00000000000412718902270286,0.0000000000270948237628693,"UR","Cancer"
"1736","ENSG00000136531","SCN2A",10.4123415180232,6.35621235585482,0.914494112212847,6.95052299513922,0.00000000000363934469682856,0.0000000000240065995091398,"UR","Cancer"
"1779","ENSG00000137648","TMPRSS4",18.2144705421961,7.16420643840857,0.898416920450948,7.97425591095567,0.00000000000000153301596903289,0.000000000000013346446718809,"UR","Cancer"
"1818","ENSG00000139192","TAPBPL",5.29961857869402,5.35269552526548,1.03619867401885,5.16570389393116,0.00000023953574718364,0.00000101617676079763,"UR","Cancer"
"1961","ENSG00000143125","PROK1",3.63035790679577,4.25634390511067,1.03795054082191,4.10071938662921,0.0000411867757619148,0.000133004677597467,"UR","Cancer"
"1971","ENSG00000143341","HMCN1",7.45862853693814,5.34318078569515,0.928969594416312,5.75172838574159,0.00000000883356419313409,0.0000000435979135983715,"UR","Cancer"
"1996","ENSG00000143839","REN",10.7855888699394,6.38006066539592,0.915600428850131,6.96817133802395,0.00000000000321087044801804,0.0000000000213506733533401,"UR","Cancer"
"2003","ENSG00000143924","EML4",2.99503506598729,4.52158502590994,1.07183907083946,4.21852976713066,0.0000245900510930562,0.0000821192409582986,"UR","Cancer"
"2078","ENSG00000146648","EGFR",42.0850360379291,8.36340760880128,0.865776186450173,9.6600111434026,0.000000000000000000000445815466997928,0.00000000000000000000596973644787177,"UR","Cancer"
"2101","ENSG00000147536","GINS4",4.53876170340103,5.13328001917691,0.99301713009489,5.16937710700559,0.000000234875525495325,0.000000996682892471687,"UR","Cancer"
"2164","ENSG00000150275","PCDH15",36.4772729118384,8.17132103516738,0.935059028947223,8.73882908159008,0.00000000000000000235538905462959,0.0000000000000000249810325665593,"UR","Cancer"
"2208","ENSG00000152348","ATG10",16.9229855415161,7.05761729560059,0.932172688419879,7.57114790346832,0.0000000000000369940564080685,0.000000000000288616519398925,"UR","Cancer"
"2247","ENSG00000153292","ADGRF1",239.68302122009,10.8183850883626,0.854244239322692,12.6642763162678,0.000000000000000000000000000000000000932765762898351,0.0000000000000000000000000000000000276714927578678,"UR","Cancer"
"2307","ENSG00000156011","PSD3",7.22356848176208,5.80106000665907,0.957523086441594,6.05840223468379,0.00000000137480264507782,0.0000000072881741762162,"UR","Cancer"
"2488","ENSG00000162076","FLYWCH2",9.76326099002558,5.77325123040587,0.943018605785686,6.1220968440976,0.000000000923518611794487,0.00000000496913759078219,"UR","Cancer"
"2558","ENSG00000163606","CD200R1",2.45353542139943,4.22399900631722,1.17056694184327,3.6085070023127,0.000307964203772517,0.000875116165629763,"UR","Cancer"
"2586","ENSG00000163913","IFT122",3.20091082567051,4.54012508816108,1.08388556102173,4.18874948742864,0.0000280495827033281,0.0000931266434779572,"UR","Cancer"
"2642","ENSG00000164935","DCSTAMP",3.46341880044729,4.66989417308125,1.14691905343074,4.07168593032992,0.0000466740844236781,0.00014958156924299,"UR","Cancer"
"2652","ENSG00000165186","PTCHD1",44.2234829949862,8.45678667138411,0.859749990053358,9.83633238641766,0.0000000000000000000000785212561279841,0.00000000000000000000110896174039214,"UR","Cancer"
"2674","ENSG00000165733","BMS1",28.7522494635965,7.82148976298891,0.881242476682726,8.87552514766589,0.00000000000000000069604204987771,0.00000000000000000762692230250615,"UR","Cancer"
"2885","ENSG00000169855","ROBO1",52.0735321981043,8.69261086562384,0.883368825890264,9.84029616039867,0.000000000000000000000075488290077444,0.00000000000000000000106703892663788,"UR","Cancer"
"2917","ENSG00000170464","DNAJC18",12.6924795547189,6.63233836223789,0.920074820272274,7.20847719783834,0.000000000000565810438328971,0.00000000000404563032581043,"UR","Cancer"
"2951","ENSG00000171295","ZNF440",43.4439800214074,8.42741594490743,0.891881643168604,9.44902948665609,0.00000000000000000000341986744682701,0.0000000000000000000432032795805578,"UR","Cancer"
"2971","ENSG00000171680","PLEKHG5",16.5276656827482,6.54393542288742,0.890466612874741,7.34888352721196,0.000000000000199869250795887,0.00000000000147571023241789,"UR","Cancer"
"3142","ENSG00000176055","MBLAC2",3.92599378096639,4.84598935947051,1.00721602534745,4.81127110522179,0.00000149973423048353,0.00000582685361497999,"UR","Cancer"
"3208","ENSG00000177693","OR4F4",6.79662843632418,5.7094278098242,0.942387867711854,6.05846913509918,0.00000000137423109152005,0.00000000728748220676424,"UR","Cancer"
"3233","ENSG00000178343","SHISA3",59.985476596872,8.39440028318412,0.904831198685592,9.27731083474828,0.0000000000000000000173809826008511,0.000000000000000000210714128023818,"UR","Cancer"
"3275","ENSG00000179841","AKAP5",12.0114854494634,6.04450470898972,0.925395112282823,6.53180963326979,0.0000000000649797167566375,0.000000000387906372719176,"UR","Cancer"
"3425","ENSG00000183963","SMTN",21.9193796179892,7.41178463149173,0.880863857832596,8.41422265834444,0.0000000000000000395508841795834,0.000000000000000383532165600608,"UR","Cancer"
"3439","ENSG00000184361","SPATA32",2.85495373414877,4.41188304324483,1.11668872665778,3.95086198859505,0.000077870221510909,0.000240734806407158,"UR","Cancer"
"3482","ENSG00000185291","IL3RA",29.8224421580068,-7.85253369206155,0.870083596546807,-9.02503359818152,0.000000000000000000179640238155711,0.00000000000000000203732003794438,"DR","Cancer"
"3514","ENSG00000185942","NKAIN3",4.73837719586875,5.15912775363187,1.07815947395665,4.78512490800532,0.00000170881029045918,0.00000659112540605684,"UR","Cancer"
"3668","ENSG00000196242","OR2C3",8.99189877188236,6.13242330736522,0.928206342352023,6.60674574990083,0.0000000000392859880849722,0.000000000239278167016617,"UR","Cancer"
"3726","ENSG00000197013","ZNF429",8.27958779180061,5.95436980945231,0.92766165408975,6.41868701072366,0.000000000137454680146648,0.000000000796947766576565,"UR","Cancer"
"3889","ENSG00000203756","TMEM244",5.07079322853042,5.28278700600621,0.979877156937825,5.39127478235664,0.0000000699596010303989,0.00000031524746316507,"UR","Cancer"
"3891","ENSG00000203972","GLYATL3",51.0290631067437,8.66552097999161,0.986842144800166,8.78106090791894,0.00000000000000000161939818013087,0.0000000000000000173309167930587,"UR","Cancer"
"3928","ENSG00000204789","ZNF204P",5.35098374968586,5.32915511350875,1.05711280486063,5.04123598636322,0.000000462534656021444,0.0000019021708949971,"UR","Cancer"
"3979","ENSG00000206168",NA,6.8704307001478,5.27501479062582,0.963253938547698,5.47624523454218,0.0000000434445504474806,0.000000200021663860176,"UR","Cancer"
"4063","ENSG00000214050","FBXO16",5.25279648275286,5.33365460638859,1.04487829415426,5.10457020327493,0.000000331547177302587,0.00000138590578237995,"UR","Cancer"
"4127","ENSG00000219102","HNRNPA3P12",8.55970991149656,5.97810218064124,0.951345764011954,6.28383749293294,0.000000000330315992441956,0.00000000185967341025924,"UR","Cancer"
"4136","ENSG00000220598","SSR1P1",14.7732594112896,6.38571027157807,0.931111641602436,6.85815748215576,0.00000000000697543406332037,0.0000000000450947075361134,"UR","Cancer"
"4192","ENSG00000224094","RPS24P8",299.590231720209,10.5901096495103,0.853362849151158,12.4098555029016,0.0000000000000000000000000000000000231069422191953,0.000000000000000000000000000000000644964718293889,"UR","Cancer"
"4218","ENSG00000224851","LINC00502",4.4191543783605,4.84361325432621,1.03874731258368,4.66293697769354,0.00000311728239737628,0.0000116485695011862,"UR","Cancer"
"4305","ENSG00000227233","CICP17",19.5051443372139,7.26974208057509,0.87965138851794,8.26434446130228,0.000000000000000140464473776781,0.00000000000000131206046618854,"UR","Cancer"
"4342","ENSG00000228445","UGT1A2P",181.231128895346,9.5095355498187,0.832198050120354,11.4270101311141,0.00000000000000000000000000000306480618779593,0.0000000000000000000000000000668111575819788,"UR","Cancer"
"4366","ENSG00000229196",NA,56.9920406098607,8.33033630229577,0.870028231887687,9.57478849188786,0.00000000000000000000102066002088428,0.0000000000000000000133640144097399,"UR","Cancer"
"4368","ENSG00000229235","RPL37P18",31.130276278327,7.91074277126025,0.867059089148388,9.12364897648447,0.0000000000000000000726365475658964,0.000000000000000000842869601108758,"UR","Cancer"
"4371","ENSG00000229314","ORM1",8.27170435359115,5.91229643407333,0.941947418596409,6.27667353543281,0.000000000345893290122453,0.00000000194273987966805,"UR","Cancer"
"4429","ENSG00000230852",NA,65.901123496324,9.03200202256772,0.85986820589654,10.503937650713,0.0000000000000000000000000828503618354639,0.00000000000000000000000141281669656265,"UR","Cancer"
"4464","ENSG00000231901",NA,70.9196610224575,9.13647344554145,0.876463441615974,10.424249331719,0.00000000000000000000000019217077484092,0.00000000000000000000000321399785776454,"UR","Cancer"
"4476","ENSG00000232299",NA,55.9787938742885,8.15908422704085,0.901564353592454,9.04991883777284,0.000000000000000000143074644719057,0.00000000000000000163496917658208,"UR","Cancer"
"4523","ENSG00000233644","ARHGEF7-IT1",18.442207482692,7.18981008478119,0.900537812345355,7.9839069345196,0.00000000000000141772927314812,0.0000000000000123688270905489,"UR","Cancer"
"4542","ENSG00000234199","LINC01191",2.83243925838459,4.43837510805542,1.1391467101204,3.89622782440932,0.0000977024895892695,0.000298914263649896,"UR","Cancer"
"4552","ENSG00000234445","FGF14-AS1",23.3528404833269,7.52830649925264,0.899627779408608,8.36824592522205,0.0000000000000000584822410255253,0.000000000000000561511069555945,"UR","Cancer"
"4559","ENSG00000234720","ATP5F1AP8",10.5046195305224,5.84474290710633,1.06907957836773,5.46707936936751,0.0000000457511228376093,0.000000209867408308895,"UR","Cancer"
"4563","ENSG00000234945","GTF3C2-AS1",12.2508342457794,6.59229979530036,0.910590560863535,7.23958722902719,0.000000000000450052347690178,0.00000000000324037690336928,"UR","Cancer"
"4588","ENSG00000235803","MTCO2P23",5.05350724280078,4.80506595322449,0.990176404196519,4.85273728283151,0.00000121768955216086,0.00000478163074142253,"UR","Cancer"
"4612","ENSG00000236375","POU5F1P5",3.65624465471655,4.67639656964462,1.14427081500071,4.08679178769556,0.0000437379310071991,0.000140608087930537,"UR","Cancer"
"4651","ENSG00000237742",NA,3.33656453024483,4.61192501556145,1.28732297228339,3.58257027557042,0.000340230046220126,0.000959818938099486,"UR","Cancer"
"4659","ENSG00000238003","RPL10P4",4.19388249551839,3.93845979104248,1.0312129488001,3.81924974431829,0.000133858185153494,0.000402451355799914,"UR","Cancer"
